Campaign Name,Start Date,End Date,Channels,Key Metrics,Budget,Sales,Profit
Back to Productivity,1/9/2021,1/10/2021,"Email Marketing, Paid Search","ROAS, Customer Lifetime Value (CLV)","4,000",7013.709,656.7666
Year-End Office Upgrade,1/11/2021,1/12/2021,"Paid Search, Social Media Ads (LinkedIn)","Conversion Rate, ROAS","6,000",28175.457,3462.7456
Tax Season Organization,1/2/2022,1/3/2022,"Paid Search, Email Marketing","CPA, Conversion Rate","7,500",33265.809,-938.9666
Welcome Back: Refresh Your Workspace,1/5/2022,1/6/2022,"LinkedIn Ads, Paid Search, Display Ads","ROAS, Lead Generation (para muebles)","12,000",28038.845,3636.7729
Summer Sanity Sale,1/7/2022,1/8/2022,"Social Media Ads, Email Marketing","CTR, Conversion Rate","8,000",66974.1925,8121.973
The Hybrid-Ready Office,1/10/2022,1/11/2022,"Content Marketing (Blog), Paid Search","ROAS, CPA","10,000",38336.4536,9917.8952
"New Year, New Gear",1/1/2023,1/2/2023,"Email Marketing, Social Media Ads","Customer Retention Rate, ROAS","9,000",25594.996,2984.2541
Spring Cleaning & Storage Solutions,1/4/2023,1/5/2023,"Pinterest Ads, Google Shopping, Paid Search","Conversion Rate, Average Order Value (AOV)","11,000",67228.843,8640.492
Go Green: Eco-Friendly Office,1/6/2023,1/7/2023,"Content Marketing, LinkedIn Ads, Email Marketing","Engagement Rate, CTR, ROAS","15,000",77385.1755,13032.7152
Q4 Budget Blowout,1/10/2023,1/12/2023,"Paid Search, Email Marketing, Retargeting Ads","ROAS, CPA, Conversion Rate","20,000",48906.743,1926.2321
The Ergonomic Upgrade,1/2/2024,1/3/2024,"LinkedIn Ads, Paid Search, Content Marketing","Lead Conversion Rate, ROAS","18,000",37803.337,3977.0575
Future-Proof Your Office,1/1/2024,1/5/2024,"Paid Search, Display Ads, YouTube Ads (Reviews)","Video View Rate, CTR, ROAS","22,000",43434.31,5509.1446
Back-to-Business Power Up,1/8/2024,1/9/2024,"Email Marketing, Social Media Ads, Paid Search","ROAS, AOV","25,000",44259.214,7231.6391
Black Friday for Business,1/11/2024,1/11/2024,"Email Marketing (Segmentado), Paid Search, Social Media Ads","Conversion Rate, ROAS","15,000",34914.4181,-39.2686
Holiday Gifting & Shipping,1/12/2024,1/12/2024,"Google Shopping, Email Marketing","CPA, ROAS","14,000",46105.4742,8049.1711
Tax Time Tamed,1/2/2025,1/3/2025,"Paid Search (keywords de nicho), Email Marketing","ROAS, Conversion Rate","20,000",43622.446,6386.4893
The Complete Office Refresh,1/4/2025,1/6/2025,"LinkedIn Ads, Paid Search, Display Retargeting, Content Marketing","Cost Per Lead (CPL), ROAS, AOV","35,000",90686.602,11454.6862
Summer Productivity Boost,1/7/2025,1/8/2025,"Social Media Ads, Email Marketing, Paid Search","Engagement Rate, CPA","28,000","91,820.31","8,705.35"
